source_ordering,neighborhood_id,neighborhood_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
61,4,Ventura Village,VENTURA VILLAGE,444,2.4,52,212,29,9,134,11.7,47.7,6.5,2,30.2,165,37.2,279,62.8,16,3.6,18,4.1,359,80.9,51,11.5,207,48.3,130,30.3,92,21.4,42,384,9.9,90.1,409,34,92.3,7.7,297,96,30,8,68.9,22.3,7,1.9,243,107,38,8,61.4,27,9.6,1.9
62,38,Bancroft,BANCROFT,194,1.1,129,29,<=5,8,23,66.5,14.9,*,4.1,11.9,122,62.9,72,37.1,<=5,*,<=5,*,138,71.1,48,24.7,24,12.4,39,20.2,130,67.4,17,168,9.2,90.8,175,19,90.2,9.8,158,23,7,<=5,83,12.2,3.7,*,136,27,<=5,<=5,80,15.9,*,*
63,69,Bryant,BRYANT,169,0.9,64,39,<=5,7,54,37.9,23.1,*,4.1,32,83,49.1,86,50.9,<=5,*,8,4.7,117,69.2,40,23.7,51,30.2,35,20.7,83,49.1,18,146,11,89,157,12,92.9,7.1,131,28,6,0,79.4,17,3.6,0,109,28,11,0,73.6,18.9,7.4,0
64,66,Central,CENTRAL,561,3.1,79,111,19,14,330,14.1,19.8,3.4,2.5,58.8,223,39.8,338,60.2,25,4.5,39,7,414,73.8,83,14.8,285,51.4,144,25.9,126,22.7,51,494,9.4,90.6,526,35,93.8,6.2,403,122,20,<=5,73.7,22.3,3.7,*,348,135,25,<=5,68.2,26.5,4.9,*
65,68,Corcoran,CORCORAN,252,1.4,103,42,9,7,89,40.9,16.7,3.6,2.8,35.3,123,48.8,129,51.2,<=5,*,14,5.6,201,79.8,34,13.5,76,30.6,60,24.2,112,45.2,24,221,9.8,90.2,234,18,92.9,7.1,181,48,7,<=5,76.1,20.2,2.9,*,154,49,10,<=5,71.6,22.8,4.7,*
66,87,Lyndale,LYNDALE,383,2.1,110,94,13,8,153,28.7,24.5,3.4,2.1,39.9,151,39.4,232,60.6,<=5,*,21,5.5,304,79.4,55,14.4,148,39.5,103,27.5,124,33.1,37,332,10,90,355,28,92.7,7.3,308,50,11,<=5,82.8,13.4,3,*,258,66,8,<=5,77,19.7,2.4,*
67,67,Powderhorn Park,POWDERHORN PARK,463,2.5,133,100,26,10,192,28.7,21.6,5.6,2.2,41.5,196,42.3,267,57.7,14,3,32,6.9,351,75.8,66,14.3,180,39.6,114,25.1,160,35.2,48,404,10.6,89.4,430,33,92.9,7.1,343,82,20,<=5,76.6,18.3,4.5,*,290,94,20,<=5,71.3,23.1,4.9,*
68,39,Standish,STANDISH,268,1.5,181,22,7,11,39,67.5,8.2,2.6,4.1,14.6,184,68.7,84,31.3,9,3.4,10,3.7,186,69.4,63,23.5,37,13.9,39,14.6,191,71.5,28,238,10.5,89.5,248,19,92.9,7.1,222,34,<=5,<=5,84.7,13,1.5,*,187,38,<=5,<=5,80.6,16.4,*,*
69,86,Whittier,WHITTIER,558,3.1,111,247,15,41,138,19.9,44.3,2.7,7.3,24.7,202,36.2,356,63.8,18,3.2,41,7.3,416,74.6,83,14.9,173,31.7,192,35.2,180,33,69,476,12.7,87.3,507,51,90.9,9.1,429,92,22,<=5,78.4,16.8,4,*,365,104,25,<=5,73.3,20.9,5,*
70,71,Armatage,ARMATAGE,295,1.6,235,34,<=5,12,9,79.7,11.5,*,4.1,3.1,232,78.6,63,21.4,<=5,*,8,2.7,217,73.6,68,23.1,10,3.5,43,14.9,236,81.7,25,252,9,91,278,17,94.2,5.8,253,15,<=5,0,93,5.5,*,0,222,26,6,0,87.4,10.2,2.4,0
71,56,East Harriet,EAST HARRIET,117,0.6,92,10,<=5,7,<=5,78.6,8.5,*,6,*,90,76.9,27,23.1,0,0,<=5,*,70,59.8,46,39.3,<=5,*,7,6,108,93.1,21,91,18.8,81.3,106,11,90.6,9.4,95,13,<=5,0,86.4,11.8,*,0,95,7,<=5,0,92.2,6.8,*,0
72,36,Fulton,FULTON,297,1.6,268,<=5,0,12,6,90.2,*,0,4,2,271,91.2,26,8.8,<=5,*,<=5,*,182,61.3,112,37.7,<=5,*,13,4.4,277,94.5,39,238,14.1,85.9,270,26,91.2,8.8,255,14,<=5,0,93.4,5.1,*,0,237,16,<=5,0,92.6,6.3,*,0
73,70,Kenny,KENNY,193,1.1,177,<=5,0,8,<=5,91.7,*,0,4.1,*,182,94.3,11,5.7,0,0,0,0,146,75.6,47,24.4,<=5,*,<=5,*,187,97.9,8,174,4.4,95.6,189,<=5,97.9,*,167,8,<=5,0,94.4,4.5,*,0,155,10,<=5,0,92.3,6,*,0
