source_ordering,neighborhood_id,neighborhood_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
11,80,Folwell,FOLWELL,405,2.2,90,196,11,67,31,22.2,48.4,2.7,16.5,7.7,115,28.4,290,71.6,30,7.4,44,10.9,289,71.5,41,10.1,106,26.7,134,33.8,157,39.5,52,336,13.4,86.6,355,49,87.9,12.1,307,58,13,<=5,80.6,15.2,3.4,*,215,79,15,<=5,68.9,25.3,4.8,*
12,7,Lind - Bohanon,LIND-BOHANON,246,1.4,89,90,6,42,13,36.2,36.6,2.4,17.1,5.3,121,49.2,125,50.8,8,3.3,29,11.8,186,75.6,23,9.3,42,17.6,68,28.5,129,54,33,205,13.9,86.1,217,29,88.2,11.8,191,36,8,0,81.3,15.3,3.4,0,152,45,10,0,73.4,21.7,4.8,0
13,81,McKinley,MCKINLEY,209,1.1,29,95,12,42,26,13.9,45.5,5.7,20.1,12.4,53,25.4,156,74.6,11,5.3,17,8.1,160,76.6,21,10,60,28.8,71,34.1,77,37,29,176,14.1,85.9,183,26,87.6,12.4,145,44,7,<=5,73.6,22.3,3.6,*,110,46,14,<=5,64.3,26.9,8.2,*
14,6,Shingle Creek,SHINGLE CREEK,159,0.9,51,49,<=5,31,21,32.1,30.8,*,19.5,13.2,75,47.2,84,52.8,<=5,*,15,9.4,122,76.7,19,11.9,29,18.5,54,34.4,74,47.1,20,134,13,87,138,21,86.8,13.2,118,29,<=5,<=5,77.1,19,*,*,96,27,7,<=5,73.3,20.6,5.3,*
15,10,Victory,VICTORY,224,1.2,146,40,<=5,22,10,65.2,17.9,*,9.8,4.5,148,66.1,76,33.9,<=5,*,8,3.6,164,73.2,48,21.4,18,8,35,15.6,171,76.3,15,199,7,93,206,18,92,8,194,17,<=5,0,91.1,8,*,0,151,30,<=5,0,81.6,16.2,*,0
16,8,Webber - Camden,WEBBER CAMDEN,281,1.5,89,124,6,38,18,31.7,44.1,2.1,13.5,6.4,86,30.6,195,69.4,15,5.3,29,10.3,219,77.9,18,6.4,32,11.2,31,10.8,223,78,40,232,14.7,85.3,243,38,86.5,13.5,204,52,9,<=5,76.4,19.5,3.4,*,158,55,17,<=5,68.1,23.7,7.3,*
17,3,Downtown East,DOWNTOWN EAST,84,0.5,35,37,<=5,<=5,<=5,41.7,44,*,*,*,40,47.6,44,52.4,<=5,*,6,7.1,65,77.4,12,14.3,14,17.1,26,31.7,42,51.2,14,65,17.7,82.3,70,14,83.3,16.7,47,12,12,<=5,63.5,16.2,16.2,*,37,20,11,<=5,52.1,28.2,15.5,*
18,2,Downtown West,DOWNTOWN WEST,108,0.6,42,16,0,45,<=5,38.9,14.8,0,41.7,*,90,83.3,18,16.7,0,0,<=5,*,91,84.3,15,13.9,<=5,*,13,12.7,85,83.3,9,95,8.7,91.3,99,9,91.7,8.3,88,13,<=5,0,83.8,13.3,*,0,70,18,<=5,0,76.1,19.6,*,0
19,77,Elliot Park,ELLIOT PARK,219,1.2,45,143,6,12,10,20.5,65.3,2.7,5.5,4.6,97,44.3,122,55.7,<=5,*,12,5.5,177,80.8,29,13.2,45,21.1,80,37.6,88,41.3,22,188,10.5,89.5,198,21,90.4,9.6,162,41,10,<=5,75.7,19.2,4.7,*,125,48,12,<=5,67.2,25.8,6.5,*
20,27,Loring Park,LORING PARK,151,0.8,63,59,<=5,21,<=5,41.7,39.1,*,13.9,*,83,55,68,45,0,0,<=5,*,127,84.1,19,12.6,9,6,29,19.5,111,74.5,17,129,11.6,88.4,133,18,88.1,11.9,114,22,<=5,0,81.4,15.7,*,0,96,22,<=5,0,78,17.9,*,0
21,33,North Loop,NORTH LOOP,181,1,117,34,<=5,18,9,64.6,18.8,*,9.9,5,133,73.5,48,26.5,0,0,<=5,*,134,74,44,24.3,18,10.1,25,14,136,76,22,149,12.9,87.1,166,15,91.7,8.3,135,21,15,0,78.9,12.3,8.8,0,112,25,12,0,75.2,16.8,8.1,0
22,28,Stevens Square - Loring Heights,STEVENS SQUARE,195,1.1,105,55,<=5,<=5,26,53.8,28.2,*,*,13.3,105,53.8,90,46.2,<=5,*,12,6.2,158,81,23,11.8,28,14.5,48,24.9,117,60.6,19,164,10.4,89.6,181,14,92.8,7.2,143,37,<=5,<=5,76.9,19.9,*,*,125,34,7,<=5,74.9,20.4,4.2,*
23,31,Cooper,COOPER,146,0.8,123,<=5,<=5,<=5,12,84.2,*,*,*,8.2,111,76,35,24,0,0,<=5,*,107,73.3,38,26,<=5,*,14,9.7,126,86.9,14,126,10,90,133,13,91.1,8.9,128,12,<=5,<=5,90.1,8.5,*,*,103,19,<=5,<=5,82.4,15.2,*,*
24,13,Hiawatha,HIAWATHA,212,1.2,154,21,<=5,7,21,72.6,9.9,*,3.3,9.9,159,75,53,25,<=5,*,<=5,*,154,72.6,51,24.1,17,8,32,15.1,163,76.9,20,182,9.9,90.1,198,14,93.4,6.6,190,10,<=5,0,93.6,4.9,*,0,169,15,<=5,0,90.9,8.1,*,0
25,12,Howe,HOWE,300,1.6,207,36,12,10,30,69,12,4,3.3,10,204,68,96,32,<=5,*,6,2,224,74.7,68,22.7,33,11.1,58,19.5,207,69.5,33,250,11.7,88.3,281,18,94,6,240,41,<=5,<=5,83.6,14.3,*,*,209,40,7,<=5,81.3,15.6,2.7,*
26,41,Longfellow,LONGFELLOW,244,1.3,115,54,15,<=5,51,47.1,22.1,6.1,*,20.9,132,54.1,112,45.9,9,3.7,11,4.5,191,78.3,33,13.5,65,27.1,48,20,127,52.9,25,210,10.6,89.4,227,17,93,7,195,36,7,0,81.9,15.1,2.9,0,168,36,14,0,77.1,16.5,6.4,0
27,40,Seward,SEWARD,294,1.6,89,178,<=5,9,10,30.3,60.5,*,3.1,3.4,163,55.4,131,44.6,<=5,*,7,2.4,231,78.6,53,18,63,21.8,104,36,122,42.2,31,260,10.7,89.3,278,16,94.6,5.4,236,41,8,0,82.8,14.4,2.8,0,182,46,11,0,76.2,19.2,4.6,0
28,26,Harrison,HARRISON,211,1.2,34,117,<=5,36,18,16.1,55.5,*,17.1,8.5,76,36,135,64,8,3.8,12,5.7,170,80.6,21,10,51,24.9,86,42,68,33.2,21,181,10.4,89.6,195,16,92.4,7.6,147,47,12,0,71.4,22.8,5.8,0,108,54,13,0,61.7,30.9,7.4,0
29,23,Hawthorne,HAWTHORNE,366,2,41,196,9,88,30,11.2,53.6,2.5,24,8.2,84,23,282,77,17,4.6,56,15.3,264,72.1,29,7.9,98,27.9,149,42.5,104,29.6,57,297,16.1,83.9,319,46,87.4,12.6,246,71,20,<=5,72.1,20.8,5.9,*,171,76,28,<=5,61.3,27.2,10,*
30,22,Jordan,JORDAN,523,2.9,66,266,15,124,43,12.6,50.9,2.9,23.7,8.2,143,27.3,380,72.7,30,5.7,53,10.1,401,76.7,39,7.5,149,29.4,196,38.7,161,31.8,73,430,14.5,85.5,465,57,89.1,10.9,348,114,21,6,71.2,23.3,4.3,1.2,242,121,33,6,60.2,30.1,8.2,1.2
31,25,Near - North,NEAR NORTH,440,2.4,48,282,<=5,51,51,10.9,64.1,*,11.6,11.6,151,34.3,289,65.7,18,4.1,50,11.4,329,74.8,43,9.8,140,32.9,155,36.5,130,30.6,49,374,11.6,88.4,382,58,86.8,13.2,324,73,17,7,77,17.3,4,1.7,235,93,21,7,66,26.1,5.9,1.7
32,5,Sumner - Glenwood,SUMNER- GLENWOOD,113,0.6,27,73,0,6,7,23.9,64.6,0,5.3,6.2,39,34.5,74,65.5,<=5,*,9,8,91,80.5,11,9.7,22,20.4,38,35.2,48,44.4,7,104,6.3,93.7,105,8,92.9,7.1,84,18,<=5,<=5,78.5,16.8,*,*,67,20,<=5,<=5,72.8,21.7,*,*
33,24,Willard - Hay,WILLARD-HAY,445,2.4,91,235,14,54,43,20.4,52.8,3.1,12.1,9.7,144,32.4,301,67.6,26,5.8,52,11.7,331,74.4,36,8.1,112,25.5,144,32.7,184,41.8,48,383,11.1,88.9,403,42,90.6,9.4,319,76,16,8,76.1,18.1,3.8,1.9,242,80,23,8,68.6,22.7,6.5,1.9
34,30,Diamond Lake,DIAMOND LAKE,262,1.4,218,17,<=5,6,16,83.2,6.5,*,2.3,6.1,224,85.5,38,14.5,<=5,*,8,3.1,172,65.6,81,30.9,9,3.5,29,11.2,222,85.4,24,220,9.8,90.2,250,11,95.8,4.2,227,17,<=5,<=5,91.9,6.9,*,*,209,17,<=5,<=5,90.5,7.4,*,*
35,15,Ericsson,ERICSSON,172,0.9,143,<=5,<=5,<=5,14,83.1,*,*,*,8.1,136,79.1,36,20.9,<=5,*,<=5,*,129,75,41,23.8,13,7.6,9,5.2,150,87.2,13,154,7.8,92.2,163,9,94.8,5.2,155,8,<=5,0,92.8,4.8,*,0,136,6,7,0,91.3,4,4.7,0
36,16,Field,FIELD,129,0.7,103,8,0,7,6,79.8,6.2,0,5.4,4.7,109,84.5,20,15.5,0,0,<=5,*,89,69,37,28.7,6,4.7,11,8.5,112,86.8,13,114,10.2,89.8,126,<=5,97.7,*,114,8,<=5,0,91.9,6.5,*,0,98,14,<=5,0,86.7,12.4,*,0
37,34,Hale,HALE,169,0.9,154,<=5,<=5,<=5,6,91.1,*,*,*,3.6,146,86.4,23,13.6,<=5,*,<=5,*,114,67.5,51,30.2,<=5,*,11,6.6,153,91.6,20,141,12.4,87.6,159,10,94.1,5.9,154,<=5,<=5,0,96.3,*,*,0,134,12,<=5,0,90.5,8.1,*,0
38,35,Keewaydin,KEEWAYDIN,161,0.9,140,<=5,<=5,<=5,6,87,*,*,*,3.7,133,82.6,28,17.4,0,0,<=5,*,111,68.9,48,29.8,<=5,*,16,10,139,86.9,8,140,5.4,94.6,152,9,94.4,5.6,142,<=5,<=5,<=5,94,*,*,*,116,8,<=5,<=5,89.6,6.2,*,*
39,29,Minnehaha,MINNEHAHA,207,1.1,167,12,<=5,11,12,80.7,5.8,*,5.3,5.8,167,80.7,40,19.3,<=5,*,<=5,*,165,79.7,37,17.9,12,5.8,22,10.7,172,83.5,17,180,8.6,91.4,196,11,94.7,5.3,179,16,<=5,0,90.9,8.1,*,0,156,21,<=5,0,87.2,11.7,*,0
40,58,Morris Park,MORRIS PARK,168,0.9,131,7,<=5,<=5,21,78,4.2,*,*,12.5,123,73.2,45,26.8,<=5,*,<=5,*,135,80.4,30,17.9,13,7.7,28,16.7,127,75.6,16,142,10.1,89.9,157,11,93.5,6.5,149,9,<=5,0,92,5.6,*,0,127,14,<=5,0,87.6,9.7,*,0
41,51,Northrop,NORTHRUP,216,1.2,174,16,<=5,9,12,80.6,7.4,*,4.2,5.6,178,82.8,37,17.2,<=5,*,<=5,*,145,67.1,64,29.6,11,5.2,21,9.9,181,85,19,182,9.5,90.5,203,13,94,6,191,12,0,0,94.1,5.9,0,0,168,18,<=5,0,89.8,9.6,*,0
42,17,Page,PAGE,68,0.4,64,0,0,<=5,<=5,94.1,0,0,*,*,63,92.6,<=5,*,0,0,<=5,*,40,58.8,27,39.7,0,*,<=5,*,66,97.1,<=5,61,*,95.3,67,<=5,98.5,*,58,<=5,0,0,92.1,*,0,0,49,8,0,0,86,14,0,0
43,50,Regina,REGINA,112,0.6,50,31,0,9,20,44.6,27.7,0,8,17.9,66,58.9,46,41.1,<=5,*,<=5,*,77,68.8,25,22.3,26,23.6,20,18.2,64,58.2,<=5,100,*,96.2,110,<=5,98.2,*,91,12,<=5,0,85,11.2,*,0,73,14,<=5,0,79.3,15.2,*,0
44,47,Wenonah,WENONAH,322,1.8,167,73,7,6,69,51.9,22.7,2.2,1.9,21.4,181,56.2,141,43.8,<=5,*,11,3.4,259,80.4,47,14.6,69,22.3,79,25.6,161,52.1,37,269,12.1,87.9,293,28,91.3,8.7,252,49,<=5,<=5,82.1,16,*,*,211,56,7,<=5,76.7,20.4,2.5,*
45,49,Audubon Park,AUDUBON PARK,272,1.5,205,17,<=5,7,34,75.4,6.3,*,2.6,12.5,201,73.9,71,26.1,<=5,*,12,4.4,198,72.8,59,21.7,27,10,33,12.2,211,77.9,26,236,9.9,90.1,254,18,93.4,6.6,232,30,<=5,0,87.5,11.3,*,0,196,35,6,0,82.7,14.8,2.5,0
46,72,Beltrami,BELTRAMI,75,0.4,26,21,<=5,<=5,19,34.7,28,*,*,25.3,31,41.3,44,58.7,<=5,*,<=5,*,53,70.7,15,20,17,23.3,26,35.6,30,41.1,8,63,11.3,88.7,72,<=5,96,*,57,11,<=5,<=5,80.3,15.5,*,*,41,17,<=5,<=5,67.2,27.9,*,*
47,9,Bottineau,BOTTINEAU,120,0.7,30,63,<=5,<=5,18,25,52.5,*,*,15,73,60.8,47,39.2,<=5,*,<=5,*,84,70,30,25,36,30.5,41,34.7,41,34.7,<=5,112,*,95.7,111,9,92.5,7.5,98,16,<=5,0,82.4,13.4,*,0,79,21,<=5,0,76,20.2,*,0
