source_ordering,neighborhood_id,neighborhood_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
11,80,Folwell,FOLWELL,402,2.2,87,196,16,68,27,21.6,48.8,4,16.9,6.7,111,27.6,291,72.4,34,8.5,40,10,287,71.4,41,10.2,108,27.9,140,36.2,139,35.9,55,346,13.7,86.3,355,46,88.5,11.5,289,65,12,<=5,78.7,17.7,3.3,*,190,86,15,<=5,65.1,29.5,5.1,*
12,7,Lind - Bohanon,LIND-BOHANON,238,1.3,91,81,7,37,15,38.2,34,2.9,15.5,6.3,115,48.3,123,51.7,10,4.2,26,10.9,173,72.7,29,12.2,46,20.4,66,29.2,114,50.4,31,207,13,87,208,30,87.4,12.6,183,33,6,0,82.4,14.9,2.7,0,135,40,8,0,73.8,21.9,4.4,0
13,81,McKinley,MCKINLEY,219,1.2,33,99,13,37,33,15.1,45.2,5.9,16.9,15.1,57,26,162,74,19,8.7,14,6.4,161,73.5,25,11.4,62,29.4,78,37,71,33.6,32,187,14.6,85.4,190,29,86.8,13.2,149,50,<=5,0,73,24.5,*,0,100,60,10,0,58.8,35.3,5.9,0
14,6,Shingle Creek,SHINGLE CREEK,173,0.9,59,50,<=5,44,16,34.1,28.9,*,25.4,9.2,79,45.7,94,54.3,<=5,*,22,12.7,128,74,18,10.4,31,18.7,54,32.5,81,48.8,27,146,15.6,84.4,152,21,87.9,12.1,120,32,<=5,0,76.9,20.5,*,0,94,33,<=5,0,71.8,25.2,*,0
15,10,Victory,VICTORY,233,1.3,149,41,<=5,23,12,63.9,17.6,*,9.9,5.2,150,64.4,83,35.6,<=5,*,12,5.2,165,70.8,52,22.3,25,10.8,42,18.2,164,71,28,205,12,88,213,20,91.4,8.6,193,23,<=5,0,88.9,10.6,*,0,142,34,<=5,0,78.9,18.9,*,0
16,8,Webber - Camden,WEBBER CAMDEN,267,1.4,82,120,6,36,18,30.7,44.9,2.2,13.5,6.7,86,32.2,181,67.8,15,5.6,31,11.6,197,73.8,24,9,63,24.2,101,38.8,96,36.9,33,234,12.4,87.6,238,28,89.5,10.5,186,46,9,<=5,76.5,18.9,3.7,*,140,50,13,<=5,68.3,24.4,6.3,*
17,3,Downtown East,DOWNTOWN EAST,82,0.4,29,42,<=5,<=5,<=5,35.4,51.2,*,*,*,32,39,50,61,<=5,*,7,8.5,61,74.4,12,14.6,14,17.9,31,39.7,33,42.3,18,63,22.2,77.8,64,18,78,22,39,15,15,<=5,54.2,20.8,20.8,*,25,25,16,<=5,36.2,36.2,23.2,*
18,2,Downtown West,DOWNTOWN WEST,87,0.5,30,11,0,42,<=5,34.5,12.6,0,48.3,*,76,87.4,11,12.6,0,0,<=5,*,75,86.2,9,10.3,<=5,*,15,18.3,66,80.5,6,81,6.9,93.1,80,7,92,8,71,13,0,0,84.5,15.5,0,0,58,11,<=5,0,82.9,15.7,*,0
19,77,Elliot Park,ELLIOT PARK,212,1.1,42,137,8,10,12,19.8,64.6,3.8,4.7,5.7,104,49.1,108,50.9,<=5,*,8,3.8,173,81.6,30,14.2,41,20,84,41,80,39,21,191,9.9,90.1,190,22,89.6,10.4,165,36,9,0,78.6,17.1,4.3,0,121,48,14,0,66.1,26.2,7.7,0
20,27,Loring Park,LORING PARK,152,0.8,69,59,<=5,13,7,45.4,38.8,*,8.6,4.6,87,57.2,65,42.8,<=5,*,<=5,*,124,81.6,22,14.5,9,6.1,30,20.3,109,73.6,20,132,13.2,86.8,133,19,87.5,12.5,114,25,<=5,0,79.7,17.5,*,0,98,22,<=5,0,79,17.7,*,0
21,33,North Loop,NORTH LOOP,166,0.9,104,28,<=5,22,10,62.7,16.9,*,13.3,6,117,70.5,49,29.5,<=5,*,<=5,*,117,70.5,46,27.7,20,12.1,30,18.2,115,69.7,19,147,11.4,88.6,152,14,91.6,8.4,130,20,12,0,80.2,12.3,7.4,0,102,22,12,0,75,16.2,8.8,0
22,28,Stevens Square - Loring Heights,STEVENS SQUARE,148,0.8,58,64,<=5,<=5,17,39.2,43.2,*,*,11.5,68,45.9,80,54.1,0,0,18,12.2,119,80.4,11,7.4,29,20,49,33.8,67,46.2,15,133,10.1,89.9,134,14,90.5,9.5,102,35,<=5,<=5,71.8,24.6,*,*,82,34,<=5,<=5,67.2,27.9,*,*
23,31,Cooper,COOPER,128,0.7,104,6,<=5,<=5,10,81.3,4.7,*,*,7.8,94,73.4,34,26.6,0,0,<=5,*,95,74.2,31,24.2,6,4.7,23,18.1,98,77.2,14,114,10.9,89.1,121,7,94.5,5.5,112,12,<=5,0,88.9,9.5,*,0,83,16,<=5,0,82.2,15.8,*,0
24,13,Hiawatha,HIAWATHA,220,1.2,153,22,<=5,7,29,69.5,10,*,3.2,13.2,151,68.6,69,31.4,<=5,*,6,2.7,158,71.8,53,24.1,18,8.3,39,18.1,159,73.6,21,198,9.6,90.4,209,11,95,5,189,24,<=5,0,87.5,11.1,*,0,161,24,<=5,0,86.6,12.9,*,0
25,12,Howe,HOWE,312,1.7,204,44,11,13,34,65.4,14.1,3.5,4.2,10.9,204,65.4,108,34.6,<=5,*,9,2.9,225,72.1,75,24,33,10.6,78,25.2,199,64.2,33,277,10.6,89.4,294,18,94.2,5.8,243,55,<=5,<=5,80.2,18.2,*,*,206,56,8,<=5,76,20.7,3,*
26,41,Longfellow,LONGFELLOW,236,1.3,104,49,15,8,53,44.1,20.8,6.4,3.4,22.5,133,56.4,103,43.6,10,4.2,9,3.8,174,73.7,43,18.2,67,29,47,20.3,117,50.6,28,208,11.9,88.1,215,21,91.1,8.9,186,38,6,0,80.9,16.5,2.6,0,157,44,11,0,74.1,20.8,5.2,0
27,40,Seward,SEWARD,403,2.2,108,259,7,14,11,26.8,64.3,1.7,3.5,2.7,225,55.8,178,44.2,0,0,8,2,313,77.7,82,20.3,93,23.5,156,39.5,146,37,40,363,9.9,90.1,380,23,94.3,5.7,319,60,13,0,81.4,15.3,3.3,0,234,71,14,0,73.4,22.3,4.4,0
28,26,Harrison,HARRISON,210,1.1,33,108,<=5,52,12,15.7,51.4,*,24.8,5.7,83,39.5,127,60.5,11,5.2,17,8.1,154,73.3,28,13.3,56,27.6,91,44.8,56,27.6,23,187,11,89,193,17,91.9,8.1,131,59,9,0,65.8,29.6,4.5,0,88,59,10,0,56.1,37.6,6.4,0
29,23,Hawthorne,HAWTHORNE,346,1.9,44,185,<=5,82,28,12.7,53.5,*,23.7,8.1,82,23.7,264,76.3,19,5.5,53,15.3,249,72,25,7.2,94,28.6,149,45.3,86,26.1,55,290,15.9,84.1,295,51,85.3,14.7,211,75,20,<=5,68.5,24.4,6.5,*,136,77,27,<=5,56.2,31.8,11.2,*
30,22,Jordan,JORDAN,545,3,72,278,16,124,45,13.2,51,2.9,22.8,8.3,145,26.6,400,73.4,43,7.9,59,10.8,398,73,45,8.3,170,32.9,221,42.8,125,24.2,74,471,13.6,86.4,490,55,89.9,10.1,342,116,21,<=5,71,24.1,4.4,*,226,127,30,<=5,58.5,32.9,7.8,*
31,25,Near - North,NEAR NORTH,457,2.5,48,279,<=5,56,66,10.5,61.1,*,12.3,14.4,135,29.5,322,70.5,26,5.7,57,12.5,337,73.7,37,8.1,155,35.8,162,37.4,116,26.8,57,400,12.5,87.5,399,58,87.3,12.7,312,91,17,<=5,73.6,21.5,4,*,208,107,21,<=5,61.2,31.5,6.2,*
32,5,Sumner - Glenwood,SUMNER- GLENWOOD,122,0.7,9,100,0,10,<=5,7.4,82,0,8.2,*,45,36.9,77,63.1,<=5,*,11,9,98,80.3,9,7.4,19,16.4,59,50.9,38,32.8,9,113,7.4,92.6,115,7,94.3,5.7,86,22,<=5,0,76.8,19.6,*,0,58,30,<=5,0,63.7,33,*,0
33,24,Willard - Hay,WILLARD-HAY,508,2.8,72,303,12,80,33,14.2,59.6,2.4,15.7,6.5,134,26.4,374,73.6,37,7.3,65,12.8,363,71.5,43,8.5,127,25.6,182,36.6,188,37.8,55,453,10.8,89.2,463,45,91.1,8.9,341,92,22,8,73.7,19.9,4.8,1.7,237,95,37,8,62.9,25.2,9.8,1.7
34,30,Diamond Lake,DIAMOND LAKE,256,1.4,206,18,<=5,<=5,24,80.5,7,*,*,9.4,218,85.2,38,14.8,<=5,*,8,3.1,172,67.2,75,29.3,12,4.8,31,12.4,208,82.9,29,227,11.3,88.7,241,15,94.1,5.9,231,19,<=5,0,92,7.6,*,0,209,20,<=5,0,89.7,8.6,*,0
35,15,Ericsson,ERICSSON,171,0.9,146,<=5,<=5,<=5,13,85.4,*,*,*,7.6,140,81.9,31,18.1,<=5,*,<=5,*,130,76,39,22.8,15,8.8,11,6.4,145,84.8,20,151,11.7,88.3,156,15,91.2,8.8,157,10,<=5,0,92.4,5.9,*,0,132,9,<=5,0,91,6.2,*,0
36,16,Field,FIELD,119,0.6,88,10,0,<=5,10,73.9,8.4,0,*,8.4,93,78.2,26,21.8,0,0,<=5,*,91,76.5,25,21,9,7.6,14,11.9,95,80.5,12,107,10.1,89.9,117,<=5,98.3,*,107,7,<=5,0,92.2,6,*,0,89,14,<=5,0,85.6,13.5,*,0
37,34,Hale,HALE,176,1,160,<=5,<=5,<=5,8,90.9,*,*,*,4.5,152,86.4,24,13.6,<=5,*,<=5,*,118,67,52,29.5,6,3.4,14,8,155,88.6,14,162,8,92,165,11,93.8,6.3,164,6,<=5,0,94.8,3.5,*,0,137,11,<=5,0,90.1,7.2,*,0
38,35,Keewaydin,KEEWAYDIN,158,0.9,138,<=5,<=5,<=5,7,87.3,*,*,*,4.4,129,81.6,29,18.4,<=5,*,<=5,*,109,69,45,28.5,7,4.5,15,9.6,135,86,11,147,7,93,152,6,96.2,3.8,148,6,<=5,<=5,94.3,3.8,*,*,119,12,<=5,<=5,88.8,9,*,*
39,29,Minnehaha,MINNEHAHA,201,1.1,158,12,<=5,12,11,78.6,6,*,6,5.5,163,81.1,38,18.9,<=5,*,<=5,*,144,71.6,51,25.4,11,5.6,23,11.6,164,82.8,14,187,7,93,192,9,95.5,4.5,176,18,<=5,0,89.3,9.1,*,0,154,22,<=5,0,86,12.3,*,0
40,58,Morris Park,MORRIS PARK,151,0.8,103,10,<=5,<=5,32,68.2,6.6,*,*,21.2,102,67.5,49,32.5,<=5,*,<=5,*,121,80.1,25,16.6,17,11.5,30,20.3,101,68.2,15,136,9.9,90.1,139,12,92.1,7.9,135,12,<=5,0,89.4,7.9,*,0,113,15,<=5,0,85,11.3,*,0
41,51,Northrop,NORTHROP,232,1.3,186,12,<=5,6,19,80.2,5.2,*,2.6,8.2,189,81.5,43,18.5,<=5,*,8,3.4,156,67.2,67,28.9,17,7.5,26,11.4,185,81.1,25,207,10.8,89.2,219,13,94.4,5.6,214,11,<=5,0,93.9,4.8,*,0,184,13,<=5,0,91.5,6.5,*,0
42,17,Page,PAGE,67,0.4,60,0,0,<=5,<=5,89.6,0,0,*,*,62,92.5,<=5,*,0,0,<=5,*,43,64.2,23,34.3,0,0,<=5,*,64,95.5,<=5,62,*,92.5,66,<=5,98.5,*,61,<=5,0,0,93.8,*,0,0,50,6,0,0,89.3,10.7,0,0
43,50,Regina,REGINA,123,0.7,64,21,0,<=5,33,52,17.1,0,*,26.8,68,55.3,55,44.7,<=5,*,9,7.3,87,70.7,22,17.9,30,24.8,24,19.8,67,55.4,9,114,7.3,92.7,117,6,95.1,4.9,97,19,<=5,0,80.8,15.8,*,0,75,20,8,0,72.8,19.4,7.8,0
44,47,Wenonah,WENONAH,354,1.9,179,77,8,7,80,50.6,21.8,2.3,2,22.6,190,53.7,164,46.3,6,1.7,17,4.8,279,78.8,52,14.7,82,24,89,26,171,50,49,305,13.8,86.2,320,34,90.4,9.6,274,65,6,<=5,79.2,18.8,1.7,*,229,70,8,<=5,74.4,22.7,2.6,*
45,49,Audubon Park,AUDUBON PARK,280,1.5,210,24,6,8,30,75,8.6,2.1,2.9,10.7,200,71.4,80,28.6,8,2.9,16,5.7,194,69.3,62,22.1,33,11.9,37,13.3,208,74.8,28,252,10,90,264,16,94.3,5.7,238,30,<=5,<=5,87.5,11,*,*,199,33,6,<=5,83.3,13.8,2.5,*
46,72,Beltrami,BELTRAMI,68,0.4,23,16,<=5,<=5,21,33.8,23.5,*,*,30.9,22,32.4,46,67.6,0,0,<=5,*,54,79.4,10,14.7,18,27.7,27,41.5,20,30.8,7,61,10.3,89.7,66,<=5,97.1,*,54,10,0,0,84.4,15.6,0,0,38,15,<=5,0,70.4,27.8,*,0
47,9,Bottineau,BOTTINEAU,130,0.7,32,72,<=5,<=5,17,24.6,55.4,*,*,13.1,76,58.5,54,41.5,<=5,*,<=5,*,98,75.4,26,20,37,29.1,49,38.6,41,32.3,6,124,4.6,95.4,122,8,93.8,6.2,105,21,<=5,0,80.8,16.2,*,0,82,27,<=5,0,73.2,24.1,*,0
48,83,Columbia Park,COLUMBIA PARK,79,0.4,53,15,0,<=5,6,67.1,19,0,*,7.6,43,54.4,36,45.6,<=5,*,<=5,*,61,77.2,12,15.2,8,10.3,25,32.1,45,57.7,<=5,74,*,94.9,73,6,92.4,7.6,67,8,<=5,0,87,10.4,*,0,47,11,<=5,0,77,18,*,0
49,48,Holland,HOLLAND,286,1.5,85,101,20,6,72,29.7,35.3,7,2.1,25.2,131,45.8,155,54.2,10,3.5,14,4.9,223,78,39,13.6,86,30.8,106,38,87,31.2,20,266,7,93,268,18,93.7,6.3,209,54,9,<=5,76.3,19.7,3.3,*,163,66,14,<=5,66.5,26.9,5.7,*
50,53,Logan Park,LOGAN PARK,106,0.6,56,10,6,<=5,30,52.8,9.4,5.7,*,28.3,50,47.2,56,52.8,<=5,*,6,5.7,68,64.2,28,26.4,31,30.1,20,19.4,52,50.5,10,96,9.4,90.6,101,<=5,95.3,*,75,21,<=5,0,74.3,20.8,*,0,59,26,<=5,0,66.3,29.2,*,0
51,85,Marshall Terrace,MARSHALL TERRACE,58,0.3,25,13,<=5,8,10,43.1,22.4,*,13.8,17.2,27,46.6,31,53.4,<=5,*,<=5,*,41,70.7,11,19,13,22.4,25,43.1,20,34.5,<=5,55,*,94.8,55,<=5,94.8,*,41,14,0,0,74.5,25.5,0,0,30,16,<=5,0,63.8,34,*,0
52,63,Northeast Park,NORTHEAST PARK,47,0.3,27,7,<=5,<=5,10,57.4,14.9,*,*,21.3,25,53.2,22,46.8,0,0,<=5,*,36,76.6,8,17,12,25.5,13,27.7,22,46.8,<=5,43,*,91.5,43,<=5,91.5,*,37,9,<=5,0,78.7,19.1,*,0,27,8,<=5,0,69.2,20.5,*,0
53,65,St. Anthony East,ST. ANTHONY EAST,75,0.4,38,10,<=5,<=5,18,50.7,13.3,*,*,24,39,52,36,48,<=5,*,<=5,*,61,81.3,10,13.3,15,20.3,25,33.8,34,45.9,9,66,12,88,66,9,88,12,50,18,<=5,<=5,70.4,25.4,*,*,41,15,<=5,<=5,69.5,25.4,*,*
54,64,St. Anthony West,ST. ANTHONY WEST,76,0.4,51,10,<=5,<=5,9,67.1,13.2,*,*,11.8,54,71.1,22,28.9,<=5,*,<=5,*,60,78.9,12,15.8,10,13.2,12,15.8,54,71.1,9,67,11.8,88.2,70,6,92.1,7.9,63,8,<=5,0,85.1,10.8,*,0,51,9,<=5,0,79.7,14.1,*,0
55,52,Sheridan,SHERIDAN,161,0.9,65,53,9,6,25,40.4,32.9,5.6,3.7,15.5,68,42.2,93,57.8,<=5,*,7,4.3,128,79.5,22,13.7,33,21,61,38.9,63,40.1,20,140,12.5,87.5,146,15,90.7,9.3,124,23,9,0,79.5,14.7,5.8,0,93,23,11,0,73.2,18.1,8.7,0
56,84,Waite Park,WAITE PARK,302,1.6,230,22,<=5,17,30,76.2,7.3,*,5.6,9.9,235,77.8,67,22.2,<=5,*,9,3,222,73.5,66,21.9,35,11.7,46,15.3,219,73,34,268,11.3,88.7,283,19,93.7,6.3,268,21,6,<=5,90.5,7.1,2,*,229,33,7,<=5,84.8,12.2,2.6,*
57,54,Windom Park,WINDOM PARK,255,1.4,163,33,<=5,<=5,41,63.9,12.9,*,*,16.1,165,64.7,90,35.3,<=5,*,7,2.7,184,72.2,59,23.1,46,18.5,52,20.9,151,60.6,26,228,10.2,89.8,235,20,92.2,7.8,210,35,<=5,<=5,84.7,14.1,*,*,176,38,6,<=5,79.3,17.1,2.7,*
58,45,East Phillips,EAST PHILLIPS,366,2,49,80,72,8,152,13.4,21.9,19.7,2.2,41.5,109,29.8,257,70.2,13,3.6,40,10.9,277,75.7,36,9.8,164,45.6,121,33.6,75,20.8,33,333,9,91,343,23,93.7,6.3,251,76,24,<=5,71.1,21.5,6.8,*,197,81,29,<=5,63.8,26.2,9.4,*
59,1,Phillips West,WEST PHILLIPS,313,1.7,32,175,9,<=5,90,10.2,55.9,2.9,*,28.8,129,41.2,184,58.8,7,2.2,22,7,240,76.7,44,14.1,132,43.7,112,37.1,58,19.2,35,278,11.2,88.8,285,28,91.1,8.9,211,75,19,<=5,69,24.5,6.2,*,172,71,28,<=5,63.2,26.1,10.3,*
60,60,Midtown Phillips,MIDTOWN PHILLIPS,362,2,43,103,29,<=5,176,11.9,28.5,8,*,48.6,136,37.6,226,62.4,20,5.5,30,8.3,271,74.9,41,11.3,163,46,122,34.5,69,19.5,31,330,8.6,91.4,339,23,93.6,6.4,255,74,18,<=5,72.9,21.1,5.1,*,208,79,20,<=5,67.1,25.5,6.5,*
61,4,Ventura Village,VENTURA VILLAGE,465,2.5,45,219,41,8,147,9.7,47.1,8.8,1.7,31.6,156,33.5,309,66.5,14,3,26,5.6,371,79.8,54,11.6,218,48.3,154,34.1,79,17.5,48,416,10.3,89.7,426,39,91.6,8.4,306,114,25,6,67.8,25.3,5.5,1.3,252,113,41,6,61.2,27.4,10,1.3
62,38,Bancroft,BANCROFT,178,1,113,28,<=5,8,24,63.5,15.7,*,4.5,13.5,108,60.7,70,39.3,<=5,*,8,4.5,120,67.4,46,25.8,22,12.6,43,24.6,110,62.9,15,163,8.4,91.6,162,16,91,9,151,18,<=5,<=5,85.8,10.2,*,*,123,22,6,<=5,80.4,14.4,3.9,*
63,69,Bryant,BRYANT,182,1,58,40,<=5,<=5,72,31.9,22,*,*,39.6,82,45.1,100,54.9,6,3.3,13,7.1,129,70.9,34,18.7,54,29.8,55,30.4,72,39.8,16,166,8.8,91.2,166,16,91.2,8.8,135,35,8,<=5,75.4,19.6,4.5,*,110,33,15,<=5,69.2,20.8,9.4,*
64,66,Central,CENTRAL,608,3.3,82,125,21,17,358,13.5,20.6,3.5,2.8,58.9,221,36.3,387,63.7,33,5.4,45,7.4,449,73.8,81,13.3,298,50.1,173,29.1,124,20.8,63,545,10.4,89.6,566,42,93.1,6.9,433,134,21,<=5,73.5,22.8,3.6,*,357,157,30,<=5,65.5,28.8,5.5,*
65,68,Corcoran,CORCORAN,267,1.4,111,35,9,<=5,107,41.6,13.1,3.4,*,40.1,132,49.4,135,50.6,<=5,*,13,4.9,225,84.3,26,9.7,80,30.9,62,23.9,117,45.2,30,236,11.3,88.7,247,20,92.5,7.5,207,45,<=5,0,80.9,17.6,*,0,170,47,<=5,0,76.6,21.2,*,0
66,87,Lyndale,LYNDALE,372,2,94,93,15,8,153,25.3,25,4,2.2,41.1,137,36.8,235,63.2,11,3,25,6.7,285,76.6,51,13.7,157,43.6,94,26.1,109,30.3,39,333,10.5,89.5,341,31,91.7,8.3,282,66,14,<=5,77.3,18.1,3.8,*,242,69,13,<=5,74,21.1,4,*
67,67,Powderhorn Park,POWDERHORN PARK,555,3,165,90,35,9,248,29.7,16.2,6.3,1.6,44.7,231,41.6,324,58.4,23,4.1,35,6.3,429,77.3,68,12.3,209,38.6,142,26.2,191,35.2,51,502,9.2,90.8,517,38,93.2,6.8,420,99,20,<=5,77.8,18.3,3.7,*,346,115,23,<=5,71.3,23.7,4.7,*
68,39,Standish,STANDISH,358,1.9,240,30,13,11,55,67,8.4,3.6,3.1,15.4,242,67.6,116,32.4,13,3.6,15,4.2,254,70.9,76,21.2,52,14.6,57,16,247,69.4,36,321,10.1,89.9,333,24,93.3,6.7,287,52,10,<=5,81.8,14.8,2.8,*,242,48,9,<=5,80.4,15.9,3,*
69,86,Whittier,WHITTIER,646,3.5,117,294,25,16,184,18.1,45.5,3.9,2.5,28.5,249,38.5,397,61.5,15,2.3,45,7,488,75.5,98,15.2,217,34.8,224,35.9,183,29.3,68,577,10.5,89.5,599,47,92.7,7.3,491,117,17,<=5,78.2,18.6,2.7,*,399,133,19,<=5,72,24,3.4,*
70,71,Armatage,ARMATAGE,268,1.5,206,32,<=5,15,9,76.9,11.9,*,5.6,3.4,209,78,59,22,<=5,*,<=5,*,194,72.4,66,24.6,7,2.7,42,16,213,81.3,19,249,7.1,92.9,255,13,95.1,4.9,239,17,<=5,0,91.9,6.5,*,0,210,29,<=5,0,86.1,11.9,*,0
