source_ordering,neighborhood_id,neighborhood_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
1,62,Bryn - Mawr,BRYN-MAWR,111,0.6,96,<=5,0,<=5,<=5,86.5,*,0,*,*,105,94.6,6,5.4,<=5,*,0,0,59,53.2,51,45.9,<=5,*,<=5,*,101,93.5,10,101,9,91,105,6,94.6,5.4,99,<=5,<=5,0,93.4,*,*,0,84,6,<=5,0,92.3,6.6,*,0
2,44,CARAG,CARAG,133,0.7,90,24,<=5,10,<=5,67.7,18,*,7.5,*,98,73.7,35,26.3,0,0,<=5,*,100,75.2,32,24.1,<=5,*,25,19.1,101,77.1,7,126,5.3,94.7,127,6,95.5,4.5,117,12,<=5,0,89.3,9.2,*,0,94,16,<=5,0,83.9,14.3,*,0
3,73,Cedar - Isles - Dean,CEDAR ISLES DEAN,77,0.4,61,<=5,0,<=5,8,79.2,*,0,*,10.4,61,79.2,16,20.8,<=5,*,0,0,44,57.1,32,41.6,0,0,7,9.3,68,90.7,10,66,13.2,86.8,68,8,89.5,10.5,69,<=5,<=5,0,92,*,*,0,57,<=5,<=5,0,87.7,*,*,0
4,76,East Isles,EAST ISLES,70,0.4,55,<=5,0,<=5,<=5,78.6,*,0,*,*,64,91.4,6,8.6,<=5,*,<=5,*,41,58.6,27,38.6,0,0,7,10.1,62,89.9,9,61,12.9,87.1,62,8,88.6,11.4,60,6,<=5,0,89.6,9,*,0,57,<=5,<=5,0,93.4,*,*,0
5,43,ECCO,ECCO,47,0.3,35,<=5,0,<=5,<=5,74.5,*,0,*,*,38,80.9,9,19.1,0,0,0,0,22,46.8,25,53.2,<=5,*,<=5,*,42,93.3,<=5,43,*,91.5,43,<=5,91.5,*,45,<=5,0,0,97.8,*,0,0,33,<=5,<=5,0,86.8,*,*,0
6,74,Kenwood,KENWOOD,26,0.1,25,0,0,0,<=5,96.2,0,0,0,*,25,96.2,<=5,*,0,0,0,0,12,46.2,14,53.8,0,0,0,0,26,100,<=5,25,*,96.2,25,<=5,96.2,*,25,<=5,0,0,96.2,*,0,0,19,<=5,0,0,82.6,*,0,0
7,75,Lowry Hill,LOWRY HILL,80,0.4,72,<=5,0,<=5,<=5,90,*,0,*,*,73,91.3,7,8.8,0,0,<=5,*,38,47.5,38,47.5,<=5,*,8,10.1,70,88.6,6,74,7.5,92.5,77,<=5,96.3,*,71,8,0,0,89.9,10.1,0,0,62,11,0,0,84.9,15.1,0,0
8,42,Lowry Hill East,LOWRY HILL EAST,119,0.6,92,11,<=5,<=5,9,77.3,9.2,*,*,7.6,90,75.6,29,24.4,<=5,*,<=5,*,85,71.4,31,26.1,6,5,20,16.8,93,78.2,15,104,12.6,87.4,108,11,90.8,9.2,103,9,<=5,0,88,7.7,*,0,81,10,<=5,0,85.3,10.5,*,0
9,61,West Calhoun,WEST CALHOUN,50,0.3,38,<=5,0,7,<=5,7.6,*,0,14,*,38,76,12,24,0,0,<=5,*,36,72,11,22,<=5,*,<=5,*,44,88,<=5,43,*,89.6,44,6,88,12,48,<=5,0,0,98,*,0,0,39,<=5,0,0,95.1,*,0,0
10,46,Cleveland,CLEVELAND,183,1,79,72,<=5,13,11,43.2,39.3,*,7.1,6,84,45.9,99,54.1,13,7.1,8,4.4,130,71,32,17.5,33,18.5,53,29.8,92,51.7,25,158,13.7,86.3,169,14,92.3,7.7,146,25,<=5,<=5,83.4,14.3,*,*,115,28,<=5,<=5,78.8,19.2,*,*
