data_source_ordering,city_gis_neighborhood_id,city_gis_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
61,4,Ventura Village,VENTURA VILLAGE,472,2.5,51,219,46,<=5,148,10.8,46.4,9.7,*,31.4,161,34.1,311,65.9,15,3.2,31,6.6,370,78.4,56,11.9,223,49,157,34.5,75,16.5,51,420,10.8,89.2,431,41,91.3,8.7,294,124,30,6,64.8,27.3,6.6,1.3,226,125,45,6,56.2,31.1,11.2,1.3
62,38,Bancroft,BANCROFT,185,1,110,30,<=5,15,26,59.5,16.2,*,8.1,14.1,112,60.5,73,39.5,<=5,*,9,4.9,131,70.8,41,22.2,25,13.8,39,21.5,117,64.6,12,173,6.5,93.5,172,13,93,7,158,19,<=5,<=5,86.8,10.4,*,*,124,22,6,<=5,80.5,14.3,3.9,*
63,69,Bryant,BRYANT,186,1,52,40,<=5,<=5,83,28,21.5,*,*,44.6,79,42.5,107,57.5,10,5.4,16,8.6,135,72.6,25,13.4,60,33.1,49,27.1,72,39.8,15,171,8.1,91.9,175,10,94.6,5.4,137,38,<=5,0,75.7,21,*,0,102,39,14,0,65.4,25,9,0
64,66,Central,CENTRAL,622,3.3,74,127,27,15,370,11.9,20.4,4.3,2.4,59.5,210,33.8,412,66.2,35,5.6,47,7.6,465,74.8,75,12.1,323,53.8,171,28.5,106,17.7,64,558,10.3,89.7,580,42,93.2,6.8,421,148,28,<=5,70.2,24.7,4.7,*,334,163,42,<=5,61.6,30.1,7.7,*
65,68,Corcoran,CORCORAN,278,1.5,103,39,14,<=5,116,37.1,14,5,*,41.7,128,46,150,54,7,2.5,10,3.6,226,81.3,35,12.6,92,34.7,59,22.3,114,43,39,237,14.1,85.9,250,28,89.9,10.1,215,43,<=5,0,82.4,16.5,*,0,169,46,7,0,76.1,20.7,3.2,0
66,87,Lyndale,LYNDALE,388,2.1,100,114,15,6,145,25.8,29.4,3.9,1.5,37.4,138,35.6,250,64.4,16,4.1,30,7.7,286,73.7,56,14.4,156,41.7,107,28.6,111,29.7,43,344,11.1,68.9,353,35,91,9,275,78,20,<=5,72.9,20.7,5.3,*,229,75,22,<=5,69.4,22.7,6.7,*
67,67,Powderhorn Park,POWDERHORN PARK,571,3,165,94,40,11,253,28.9,16.5,7,1.9,44.3,223,39.1,348,60.9,29,5.1,44,7.7,424,74.3,74,13,209,37.8,151,27.3,193,34.9,44,525,7.7,92.3,533,38,93.3,6.7,413,112,29,<=5,74.3,20.1,5.2,*,338,131,32,<=5,67.2,26,6.4,*
68,39,Standish,STANDISH,334,1.8,216,28,10,9,61,64.7,8.4,3,2.7,18.3,222,66.5,112,33.5,9,2.7,13,3.9,237,71,75,22.5,49,14.9,52,15.8,228,69.3,30,303,9,91,311,23,93.1,6.9,266,47,8,<=5,82.1,14.5,2.5,*,233,36,7,<=5,83.5,12.9,2.5,*
69,86,Whittier,WHITTIER,683,3.6,113,317,33,21,186,16.5,46.4,4.8,3.1,27.2,272,39.8,411,60.2,18,2.8,55,8.1,518,75.8,91,13.3,235,36.4,229,35.4,182,28.2,72,610,10.6,89.4,627,56,91.8,8.2,496,133,25,<=5,75.7,20.3,3.8,*,368,165,31,<=5,65.1,29.2,5.5,*
70,71,Armatage,ARMATAGE,271,1.4,217,24,<=5,16,10,80.1,8.9,*,5.9,3.7,224,82.7,47,17.3,<=5,*,<=5,*,195,72,69,25.5,6,2.3,35,13.3,222,84.4,17,254,6.3,93.7,258,13,95.2,4.8,244,15,<=5,<=5,92.4,5.7,*,*,22,22,<=5,<=5,89.1,8.9,*,*
71,56,East Harriet,EAST HARRIET,110,0.6,94,<=5,0,7,<=5,85.5,*,0,6.4,*,94,85.5,16,14.5,0,0,<=5,*,61,55.5,47,42.7,<=5,*,7,6.4,101,92.7,12,97,11,89,107,<=5,97.3,*,99,<=5,<=5,0,94.3,*,*,0,83,7,0,0,92.2,7.8,0,0
72,36,Fulton,FULTON,305,1.6,270,<=5,0,12,13,88.5,*,0,3.9,4.3,155,85.6,26,14.4,<=5,*,<=5,*,125,69.1,50,27.6,8,4.4,19,10.6,153,85,14,167,7.7,92.3,169,12,93.4,6.6,168,7,<=5,0,94.4,3.9,*,0,135,10,<=5,0,90.6,6.7,*,0
73,70,Kenny,KENNY,205,1.1,180,<=5,0,10,<=5,87.8,*,0,4.9,*,189,92.2,16,7.8,0,0,<=5,*,140,68.3,64,31.2,<=5,*,8,4,188,93.5,25,180,12.2,87.8,187,18,91.2,8.8,29,<=5,0,0,90.6,*,0,0,166,9,<=5,0,94.3,5.1,*,0
74,57,King Field,KINGFIELD,352,1.9,241,24,11,15,53,68.5,6.8,3.1,4.3,15.1,244,69.3,108,30.7,6,1.7,6,1.7,237,67.3,103,29.3,48,13.9,48,13.9,250,72.3,28,321,8,92,324,28,92,8,305,29,<=5,<=5,89.7,8.5,*,*,256,34,7,<=5,85.6,11.4,2.3,*
75,55,Linden Hills,LINDEN HILLS,269,1.4,242,10,<=5,7,<=5,90,3.7,*,2.5,*,230,85.5,39,14.5,<=5,*,<=5,*,168,62.5,97,38.1,<=5,*,17,6.4,249,93.3,27,242,10,90,263,6,97.8,2.2,250,13,<=5,<=5,94.3,4.9,*,*,223,14,0,<=5,93.7,5.9,0,*
76,37,Lynnhurst,LYNHURST,247,1.3,213,16,0,13,<=5,86.2,6.5,0,5.3,*,226,91.5,21,8.5,0,0,<=5,*,121,49,125,50.6,7,2.9,11,4.6,221,92.5,30,217,12.1,87.9,227,20,91.9,8.1,225,12,<=5,<=5,94.1,5,*,*,180,18,<=5,<=5,89.6,9,*,*
77,32,Tangletown,TANGLETOWN,173,0.9,141,9,<=5,7,10,81.5,5.2,*,4,5.8,146,85.4,25,14.6,<=5,*,<=5,*,95,54.9,74,42.8,8,4.7,11,6.4,153,89,10,163,5.8,94.2,168,<=5,97.1,*,158,12,<=5,0,91.9,7,*,0,134,11,<=5,0,90.5,7.4,*,0
78,14,Windom,WINDOM,304,1.6,153,89,9,8,39,50.3,29.3,3,2.6,12.8,160,52.6,144,47.4,9,3,26,8.6,234,77,35,11.5,48,16.5,92,31.6,151,51.9,32,272,10.5,89.5,282,21,93.1,6.9,248,40,8,<=5,83.5,13.5,2.7,*,192,51,9,<=5,75.6,20.1,3.5,*
79,19,Cedar Riverside,CEDAR RIVERSIDE,389,2.1,14,333,<=5,11,6,3.6,85.6,*,2.8,8.1,207,53.2,182,46.8,6,1.5,11,2.8,303,77.9,69,17.7,156,42.3,164,44.4,49,13.3,30,357,7.8,92.2,362,27,93.1,6.9,275,81,23,0,72.6,21.4,6.1,0,191,107,20,0,60.1,33.6,6.3,0
80,18,Como,COMO,232,1.2,96,38,7,79,10,41.4,16.4,3,34.1,4.3,187,80.6,45,19.4,<=5,*,<=5,*,202,87.1,25,10.8,<=5,*,28,12.2,197,85.7,25,207,10.8,89.2,218,13,94.4,5.6,185,30,9,<=5,82.2,13.3,4,*,148,39,10,<=5,74.7,23.4,5.1,*
81,79,Marcy Holmes,MARCY HOLMES,107,0.6,43,20,<=5,22,15,40.2,18.7,*,20.6,14,68,63.6,39,36.4,<=5,*,<=5,*,88,82.2,14,13.1,15,14.2,24,22.6,67,63.2,10,97,9.3,90.7,97,10,90.7,9.3,73,21,<=5,0,73.7,21.2,*,0,61,16,7,0,72.6,19,8.3,0
82,59,Mid - City Industrial,MID-CITY INDUSTRIALNEIGHB,3,0,<=5,0,0,0,0,*,0,0,0,0,<=5,*,<=5,*,0,0,0,0,<=5,*,0,0,0,0,0,0,<=5,*,0,<=5,0,*,<=5,0,*,0,<=5,0,0,0,*,0,0,0,<=5,0,0,0,*,0,0,0
83,78,Nicollet Island - East Bank,NICOLLET ISLAND- EAST,29,0.2,18,<=5,0,<=5,<=5,62.1,*,0,*,*,23,79.3,6,20.7,0,0,0,0,19,65.5,10,34.5,0,0,<=5,*,27,93.1,<=5,26,*,89.7,26,<=5,89.7,*,27,<=5,0,0,96.4,*,0,0,26,<=5,0,0,96.3,*,0,0
84,20,Prospect Park - East River Road,PROSPECT PARK E- RIVER,116,0.6,55,44,<=5,13,<=5,47.4,37.9,*,11.2,*,79,68.1,37,31.9,0,0,0,0,95,81.9,21,18.1,19,16.7,25,21.9,70,61.4,<=5,112,*,96.6,107,9,92.2,7.8,93,21,<=5,0,80.9,18.3,*,0,62,21,0,0,74.7,25.3,0,0
85,21,University of Minnesota,U of M,4,0,<=5,<=5,0,0,0,*,*,0,0,0,<=5,*,<=5,*,0,0,0,0,<=5,*,<=5,*,0,0,<=5,*,<=5,*,<=5,<=5,*,*,<=5,0,*,0,<=5,<=5,<=5,0,*,*,*,0,<=5,<=5,<=5,0,*,*,*,0
86,--,,UNKNOWN,47,0.3,10,22,<=5,<=5,<=5,21.3,46.8,*,*,*,14,29.8,33,70.2,<=5,*,<=5,*,41,89.1,<=5,*,13,29.5,14,31.8,17,38.6,9,37,19.6,80.4,39,8,83,17,33,<=5,<=5,0,80.5,*,*,0,26,<=5,6,0,72.2,*,16.7,0
