data_source_ordering,city_gis_neighborhood_id,city_gis_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
14,6,Shingle Creek,SHINGLE CREEK,173,0.9,54,55,<=5,37,24,31.2,31.8,*,21.4,13.9,80,46.2,93,53.8,<=5,*,26,15,123,71.1,19,11,33,19.9,56,33.7,77,46.4,30,143,17.3,82.7,155,18,89.6,10.4,115,25,<=5,0,79.9,17.4,*,0,94,15,<=5,0,67.2,24.6,*,0
15,10,Victory,VICTORY,259,1.4,155,55,<=5,25,16,59.8,21.2,*,9.7,6.2,163,62.9,96,37.1,6,2.3,17,6.6,179,69.1,57,22,20,7.9,59,23.2,175,68.9,33,226,12.7,87.3,241,18,93.1,6.9,203,25,<=5,0,88.3,10.9,*,0,150,35,<=5,0,79.4,18.5,*,0
16,8,Webber - Camden,WEBBER CAMDEN,266,1.4,78,128,7,35,15,29.3,48.1,2.6,13.2,5.6,85,32,181,68,17,6.4,28,10.5,190,71.4,31,11.7,62,24.2,103,40.2,91,35.5,26,240,9.8,90.2,243,22,91.7,8.3,185,43,6,<=5,78.4,18.2,2.5,*,131,44,10,<=5,70.1,23.5,5.3,*
17,3,Downtown East,DOWNTOWN EAST,72,0.4,25,39,<=5,<=5,<=5,34.7,54.2,*,*,*,24,33.3,48,66.7,<=5,*,7,9.7,56,77.8,7,9.7,17,25.4,23,34.3,27,40.3,11,60,15.5,84.5,62,10,86.1,13.9,32,17,15,0,50,26.6,23.4,0,22,21,18,0,36.1,34.4,29.5,0
18,2,Downtown West,DOWNTOWN WEST,78,0.4,26,12,0,37,<=5,33.3,15.4,0,47.4,*,64,82.1,14,17.9,0,0,<=5,*,68,87.2,7,9,<=5,*,16,20.8,60,77.9,<=5,73,*,93.6,74,<=5,94.9,*,62,12,<=5,0,82.7,16,*,0,48,12,<=5,0,77.4,19.4,*,0
19,77,Elliot Park,ELLIOT PARK,220,1.2,44,138,13,7,12,20,62.7,5.9,3.2,5.5,112,50.9,108,49.1,<=5,*,13,5.9,173,78.6,32,14.5,41,19.6,92,44,76,36.4,18,202,8.2,91.8,199,21,90.5,9.5,155,50,8,0,72.8,23.5,3.8,0,113,58,13,0,61.4,31.5,7.1,0
20,27,Loring Park,LORING PARK,146,0.8,62,61,<=5,8,12,42.5,41.8,*,5.5,8.2,83,56.8,63,43.2,<=5,*,<=5,*,124,84.9,16,11,8,5.7,35,25,97,69.3,17,128,11.7,88.3,133,13,91.1,8.9,107,26,<=5,0,78.7,19.1,*,0,90,28,<=5,0,73.2,22.8,*,0
21,33,North Loop,NORTH LOOP,162,0.9,100,25,<=5,22,8,61.7,15.4,*,13.6,4.9,113,69.8,49,30.2,<=5,*,<=5,*,120,74.1,37,22.8,16,10.1,30,19,112,70.9,17,145,10.5,89.5,149,13,92,8,127,21,7,0,81.9,13.5,4.5,0,97,23,9,0,75.2,17.8,7,0
22,28,Stevens Square - Loring Heights,STEVENS SQUARE,131,0.7,45,57,6,<=5,18,34.4,43.5,4.6,*,13.7,57,43.5,74,56.5,<=5,*,16,12.2,105,80.2,8,6.1,36,28.1,42,32.8,50,39.1,15,116,11.5,88.5,117,14,89.3,10.7,88,31,<=5,0,71.5,25.2,*,0,68,31,<=5,0,65.4,29.8,*,0
23,31,Cooper,COOPER,138,0.7,109,9,<=5,6,9,79,6.5,*,4.3,6.5,107,77.5,31,22.5,0,0,6,4.3,94,68.1,38,27.5,<=5,*,21,15.4,110,80.9,12,126,8.7,91.3,135,<=5,97.8,*,120,12,<=5,0,88.9,8.9,*,0,85,16,<=5,0,81.7,15.4,*,0
24,13,Hiawatha,HIAWATHA,237,1.3,167,27,6,<=5,29,70.5,11.4,2.5,*,12.2,155,65.4,82,34.6,<=5,*,7,3,167,70.5,60,25.3,19,8.2,41,17.7,172,74.1,23,213,9.7,90.3,228,9,96.2,3.8,201,29,<=5,0,86.3,12.4,*,0,159,32,<=5,0,82.4,16.6,*,0
25,12,Howe,HOWE,326,1.7,209,49,9,12,42,64.1,15,2.8,3.7,12.9,216,66.3,110,33.7,<=5,*,13,4,235,72.1,74,22.7,39,12.1,68,21.2,214,66.7,45,280,13.8,86.2,299,27,91.7,8.3,256,52,<=5,<=5,81.3,16.5,*,*,211,68,9,<=5,75.4,20.7,3.2,*
26,41,Longfellow,LONGFELLOW,248,1.3,96,58,17,8,60,38.7,23.4,6.9,3.2,24.2,134,54,114,46,13,5.2,9,3.6,179,72.2,47,19,75,31.4,56,23.4,108,45.2,30,218,12.1,87.9,229,19,92.3,7.7,199,37,<=5,<=5,82.2,15.3,*,*,146,55,11,<=5,68.5,25.8,5.2,*
27,40,Seward,SEWARD,391,2.1,99,250,8,13,16,25.3,63.9,2,3.3,4.1,227,58.1,164,41.9,<=5,*,12,3.1,300,76.7,78,19.9,100,26,141,36.7,143,37.2,42,347,10.8,89.2,369,22,94.4,5.6,292,58,19,0,79.1,15.7,5.1,0,220,67,18,0,72.1,22,5.9,0
28,26,Harrison,HARRISON,231,1.2,41,108,<=5,62,16,17.7,46.8,*,26.8,6.9,99,42.9,132,57.1,13,5.6,21,9.1,167,72.3,30,13,72,33.6,88,41.1,54,25.2,28,202,12.2,87.8,212,19,91.8,8.2,141,56,8,<=5,68.4,27.2,3.9,*,88,61,10,<=5,55,38.1,6.3,*
29,23,Hawthorne,HAWTHORNE,374,2,54,185,8,84,40,14.4,49.5,2.1,22.5,10.7,155,65.4,82,34.6,33,8.8,56,15,258,69,27,7.2,127,35.8,153,43.1,75,21.1,64,308,17.2,82.8,318,56,85,15,189,98,22,<=5,60.4,31.3,7,*,116,94,35,<=5,46.6,37.8,14.1,*
30,22,Jordan,JORDAN,561,3,74,292,14,116,51,13.2,52,2.5,20.7,9.1,163,29.1,398,70.9,45,8,62,11.1,406,72.4,48,8.6,181,34.4,210,39.9,135,25.7,56,505,10,90,511,50,91.1,8.9,318,119,29,<=5,67.9,25.4,6.2,*,212,136,41,<=5,54.2,34.8,10.5,*
31,25,Near - North,NEAR NORTH,465,2.5,49,279,6,61,68,10.5,60,1.3,13.1,14.6,143,30.8,322,69.2,31,6.7,47,10.1,350,75.3,37,8,154,35.2,174,39.7,110,25.1,71,394,15.3,84.7,399,66,85.8,14.2,285,101,19,<=5,69.7,24.7,4.6,*,193,112,28,<=5,57.3,33.2,8.3,*
